B0101 B0101,0.0 0.0,0.0 0.0.1,INDIA INDIA,Total Total,10-14 15-19,132709212.0 120526449.0,69418835.0 63982396.0,63290377.0 56544053.0,3244439.0 17703310.0,2033172.0 12721891.0,1211267.0 4981419.0,1542262.0 3054963.0,779362.0 1645507.0,762900.0 1409456.0,2808324.0 9458107.0,1450309.0 5330282.0,1358015.0 4127825.0,1263407.0 6501739.0,726515.0 4165965.0,536892.0 2335774.0,125114187.0 90310069.0,65155992.0 44284716.0,59958195.0 46025353.0,2853891.0 15134928.0,1577333.0 8423500.0,1276558.0 6711428.0
B0101,0.0,0.0,INDIA,Rural,60+,73293822.0,35997302.0,37296520.0,25141472.0,19062156.0,6079316.0,2150206.0,1037451.0,1112755.0,7204948.0,3811315.0,3393633.0,2624129.0,1656283.0,967846.0,38797196.0,12086380.0,26710816.0,1105773.0,371815.0,733958.0
B0101,0.0,0.0,INDIA,Urban,Total,377106125.0,195489200.0,181616925.0,116697150.0,95114646.0,21582504.0,2436189.0,1443214.0,992975.0,14012437.0,8545002.0,5467435.0,7144284.0,4738898.0,2405386.0,243960349.0,90386338.0,153574011.0,22455391.0,9299459.0,13155932.0
B0101,0.0,0.0,INDIA,Urban,5-9,33120514.0,17475207.0,15645307.0,300994.0,178533.0,122461.0,18500.0,10051.0,8449.0,328165.0,174781.0,153384.0,94748.0,51914.0,42834.0,32472855.0,17111842.0,15361013.0,315037.0,169967.0,145070.0
B0101,0.0,0.0,INDIA,Urban,10-14,35904718.0,18930677.0,16974041.0,783243.0,542905.0,240338.0,68976.0,40488.0,28488.0,526444.0,292098.0,234346.0,204183.0,121794.0,82389.0,34526055.0,18055186.0,16470869.0,768998.0,437177.0,331821.0
B0101,0.0,0.0,INDIA,Urban,15-19,36623977.0,19411839.0,17212138.0,4437778.0,3508634.0,929144.0,242876.0,161953.0,80923.0,1310656.0,831239.0,479417.0,820095.0,555651.0,264444.0,30632667.0,14910013.0,15722654.0,4822869.0,2713656.0,2109213.0
B0101,0.0,0.0,INDIA,Urban,20-24,37589176.0,19446031.0,18143145.0,11693916.0,9518223.0,2175693.0,358871.0,238458.0,120413.0,2026975.0,1318027.0,708948.0,1346795.0,929008.0,417787.0,23509414.0,8371323.0,15138091.0,6340794.0,3130005.0,3210789.0
B0101,0.0,0.0,INDIA,Urban,25-29,35345695.0,17968219.0,17377476.0,16625939.0,13565241.0,3060698.0,330159.0,204400.0,125759.0,1970487.0,1247710.0,722777.0,1187421.0,801974.0,385447.0,16419110.0,2950868.0,13468242.0,3918645.0,1391814.0,2526831.0
B0101,0.0,0.0,INDIA,Urban,30-34,30683172.0,15726482.0,14956690.0,16377748.0,13392909.0,2984839.0,278726.0,157689.0,121037.0,1648138.0,997851.0,650287.0,896383.0,587943.0,308440.0,12378560.0,1178033.0,11200527.0,2071106.0,497096.0,1574010.0
B0101,0.0,0.0,INDIA,Urban,35-39,29077977.0,14793820.0,14284157.0,16181917.0,13025828.0,3156089.0,268812.0,141867.0,126945.0,1544401.0,893612.0,650789.0,796501.0,504618.0,291883.0,11082847.0,732513.0,10350334.0,1507859.0,253732.0,1254127.0
B0101,0.0,0.0,INDIA,Urban,40-49,46487203.0,24253995.0,22233208.0,26441078.0,21558287.0,4882791.0,400839.0,215570.0,185269.0,2275292.0,1332585.0,942707.0,1020547.0,665213.0,355334.0,17369994.0,1147553.0,16222441.0,1541870.0,274499.0,1267371.0
